//0
//Oxygen, 1.045
//Nitrate, 1,1,-2.24,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		2000.90	0	2.0380	0	34.7710	0	27.785	0	236.38	0	69.46	0	29.24	0	0.02	0	0.000097	0	2.24	0	30.0588	8	27.9567	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1949.40	0	2.0966	0	34.7730	0	27.782	0	213.91	0	62.95	0	28.94	0	0.02	0	0.000100	0	2.24	0	30.0497	8	27.9474	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1899.60	0	2.1232	0	34.7720	0	27.779	0	212.14	0	62.47	0	29.04	0	0.02	0	0.000098	0	2.23	0	30.0381	8	27.9355	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1850.00	0	2.1583	0	34.7700	0	27.775	0	210.88	0	62.16	0	29.24	0	0.02	0	0.000098	0	2.29	0	30.0282	8	27.9253	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1799.30	0	2.1905	0	34.7670	0	27.770	0	208.90	0	61.62	0	29.34	0	0.02	0	0.000100	0	2.24	0	30.0161	8	27.9130	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1749.40	0	2.2288	0	34.7630	0	27.763	0	206.91	0	61.09	0	29.44	0	0.02	0	0.000103	0	2.26	0	29.9971	8	27.8944	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1699.00	0	2.2536	0	34.7600	0	27.759	0	205.45	0	60.70	0	29.64	0	0.03	0	0.000099	0	2.24	0	29.9744	8	27.8723	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1649.40	0	2.2713	0	34.7560	0	27.754	0	203.88	0	60.26	0	29.84	0	0.03	0	0.000099	0	2.25	0	29.9525	8	27.8509	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1599.20	0	2.3119	0	34.7500	0	27.746	0	201.79	0	59.70	0	30.04	0	0.02	0	0.000101	0	2.24	0	29.9305	8	27.8297	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		1549.90	0	2.3319	0	34.7410	0	27.737	0	199.49	0	59.05	0	30.44	0	0.02	0	0.000144	0	2.23	0	29.9065	8	27.8063	8
