//0
//Oxygen, 1.045
//Nitrate, 1, 1, 0,0,
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1798.80	0	2.7423	0	34.7770	0	27.731	0	210.99	0	63.11	0	28.70	0	0.02	0	0.000131	0	2.37	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1699.70	0	2.7685	0	34.7540	0	27.710	0	212.24	0	63.52	0	29.40	0	0.03	0	0.000137	0	2.38	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1598.90	0	2.8122	0	34.7290	0	27.686	0	205.97	0	61.70	0	30.50	0	0.03	0	0.000133	0	2.40	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1499.90	0	2.8260	0	34.6940	0	27.657	0	198.55	0	59.48	0	31.60	0	0.03	0	0.000138	0	2.35	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1399.60	0	2.8608	0	34.6560	0	27.623	0	192.70	0	57.76	0	32.70	0	0.02	0	0.000135	0	2.35	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1299.50	0	2.9355	0	34.6100	0	27.580	0	187.37	0	56.25	0	33.40	0	0.03	0	0.000136	0	2.32	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1199.50	0	3.0739	0	34.5680	0	27.534	0	183.50	0	55.27	0	34.20	0	0.02	0	0.000135	0	2.30	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		1099.80	0	3.2830	0	34.5300	0	27.484	0	182.25	0	55.16	0	34.70	0	0.02	0	0.000151	0	2.26	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		999.80	0	3.5721	0	34.4850	0	27.420	0	183.40	0	55.89	0	34.60	0	0.02	0	0.000151	0	2.20	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		979.40	0	3.6170	0	34.4810	0	27.412	0	183.50	0	55.98	0		8	0.02	0	0.000354	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		978.00	0	3.6210	0	34.4800	0	27.411	0	183.50	0	55.98	0		8	0.02	0	0.000138	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		976.00	0	3.6250	0	34.4800	0	27.411	0	183.61	0	56.02	0		8	0.02	0	0.000141	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		974.00	0	3.6270	0	34.4790	0	27.410	0	183.71	0	56.06	0		8	0.02	0	0.000140	0	2.17	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		972.00	0	3.6300	0	34.4780	0	27.408	0	183.82	0	56.09	0		8	0.02	0	0.000140	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		970.00	0	3.6390	0	34.4770	0	27.407	0	183.82	0	56.10	0		8	0.02	0	0.000140	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		968.00	0	3.6470	0	34.4760	0	27.405	0	183.92	0	56.15	0		8	0.02	0	0.000140	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		966.00	0	3.6480	0	34.4730	0	27.403	0	184.23	0	56.24	0		8	0.02	0	0.000140	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		964.00	0	3.6550	0	34.4720	0	27.401	0	184.55	0	56.35	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		962.00	0	3.6620	0	34.4710	0	27.400	0	184.76	0	56.42	0		8	0.02	0	0.000138	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		960.00	0	3.6790	0	34.4690	0	27.396	0	184.86	0	56.48	0		8	0.02	0	0.000148	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		958.00	0	3.6850	0	34.4670	0	27.394	0	185.17	0	56.58	0		8	0.02	0	0.000140	0	2.18	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		956.00	0	3.6940	0	34.4660	0	27.393	0	185.28	0	56.62	0		8	0.02	0	0.000145	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		954.00	0	3.7020	0	34.4660	0	27.392	0	185.59	0	56.73	0		8	0.02	0	0.000140	0	2.17	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		952.00	0	3.7120	0	34.4650	0	27.390	0	185.59	0	56.74	0	34.40	0	0.02	0	0.000138	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		950.00	0	3.7220	0	34.4630	0	27.387	0	185.80	0	56.82	0		8	0.02	0	0.000141	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		948.00	0	3.7380	0	34.4620	0	27.385	0	186.01	0	56.91	0		8	0.02	0	0.000137	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		946.00	0	3.7420	0	34.4620	0	27.385	0	186.11	0	56.94	0		8	0.02	0	0.000140	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		944.00	0	3.7540	0	34.4620	0	27.383	0	186.11	0	56.96	0		8	0.02	0	0.000144	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		942.00	0	3.7850	0	34.4640	0	27.382	0	185.91	0	56.94	0		8	0.02	0	0.000137	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		940.00	0	3.8140	0	34.4650	0	27.380	0	185.49	0	56.85	0		8	0.03	0	0.000136	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		938.00	0	3.8210	0	34.4650	0	27.379	0	185.28	0	56.80	0		8	0.02	0	0.000139	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		936.00	0	3.8190	0	34.4640	0	27.378	0	185.38	0	56.83	0		8	0.02	0	0.000144	0	2.17	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		934.00	0	3.8210	0	34.4640	0	27.378	0	185.59	0	56.89	0		8	0.02	0	0.000139	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		932.00	0	3.8230	0	34.4640	0	27.378	0	185.59	0	56.90	0		8	0.02	0	0.000141	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		930.00	0	3.8250	0	34.4630	0	27.377	0	185.70	0	56.93	0		8	0.02	0	0.000139	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		928.00	0	3.8430	0	34.4620	0	27.374	0	185.59	0	56.92	0		8	0.03	0	0.000141	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		926.00	0	3.8500	0	34.4600	0	27.372	0	185.91	0	57.03	0		8	0.02	0	0.000142	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		924.00	0	3.8520	0	34.4600	0	27.372	0	186.11	0	57.10	0		8	0.02	0	0.000141	0	2.17	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		922.00	0	3.8540	0	34.4590	0	27.371	0	186.32	0	57.16	0		8	0.02	0	0.000141	0	2.14	0
